store_number,mgmtintname,ip_address,brand
IBR-BWW-00384_2,LAN,10.97.84.1,BWW
IBR-BWW-00385_2,LAN,10.97.85.1,BWW
IBR-BWW-00386_2,LAN,10.97.86.1,BWW
IBR-BWW-00388_2,LAN,10.97.88.1,BWW
IBR-BWW-00389_2,LAN,10.97.89.1,BWW
IBR-BWW-00390_2,LAN,10.97.90.1,BWW
IBR-BWW-00391_2,LAN,10.97.91.1,BWW
IBR-BWW-00392_2,LAN,10.97.92.1,BWW
IBR-BWW-00393_2,LAN,10.97.93.1,BWW
IBR-BWW-00394_2,LAN,10.97.94.1,BWW
IBR-BWW-00395_2,LAN,10.97.95.1,BWW
IBR-BWW-00396_2,LAN,10.97.96.1,BWW
IBR-BWW-00397_2,LAN,10.97.97.1,BWW
IBR-BWW-00398_2,LAN,10.97.98.1,BWW
IBR-BWW-00400_2,LAN,10.97.100.1,BWW
IBR-BWW-00401_2,LAN,10.97.101.1,BWW
IBR-BWW-00402_2,LAN,10.97.102.1,BWW
IBR-BWW-00403_2,LAN,10.97.103.1,BWW
IBR-BWW-00404_2,LAN,10.97.104.1,BWW
IBR-BWW-00405_2,LAN,10.97.105.1,BWW
IBR-BWW-00406_2,LAN,10.97.106.1,BWW
IBR-BWW-00409_2,LAN,10.97.109.1,BWW
IBR-BWW-00410_2,LAN,10.97.110.1,BWW
IBR-BWW-00411_2,LAN,10.97.111.1,BWW
IBR-BWW-00412_2,LAN,10.97.112.1,BWW
IBR-BWW-00413_2,LAN,10.97.113.1,BWW
IBR-BWW-00414_2,LAN,10.97.114.1,BWW
IBR-BWW-00415_2,LAN,10.97.115.1,BWW
IBR-BWW-00416_2,LAN,10.97.116.1,BWW
IBR-BWW-00418_2,LAN,10.97.118.1,BWW
IBR-BWW-00419_2,LAN,10.97.119.1,BWW
IBR-BWW-00420_2,LAN,10.97.120.1,BWW
IBR-BWW-00421_2,LAN,10.97.121.1,BWW
IBR-BWW-00423_2,LAN,10.97.123.1,BWW
IBR-BWW-00424_2,LAN,10.97.124.1,BWW
IBR-BWW-00425_2,LAN,10.97.125.1,BWW
IBR-BWW-00426_2,LAN,10.97.126.1,BWW
IBR-BWW-00427_2,LAN,10.97.127.1,BWW
IBR-BWW-00428_2,LAN,10.97.128.1,BWW
IBR-BWW-00429_2,LAN,10.97.129.1,BWW
IBR-BWW-00430_2,LAN,10.97.130.1,BWW
IBR-BWW-00431_2,LAN,10.97.131.1,BWW
IBR-BWW-00433_2,LAN,10.97.133.1,BWW
IBR-BWW-00434_2,LAN,10.97.134.1,BWW
