store_number,mgmtintname,ip_address,brand
ARG05805,internal,10.215.169.1,Arbys
ARG05817,internal,10.211.74.1,Arbys
ARG05818,internal,10.213.133.1,Arbys
ARG05824,internal,10.213.228.1,Arbys
ARG05832,internal,10.208.34.1,Arbys
ARG05843,internal,10.213.254.1,Arbys
ARG05845,internal,10.211.127.1,Arbys
ARG05851,internal,10.211.239.1,Arbys
ARG05861,internal,10.212.194.1,Arbys
ARG05864,internal,10.213.137.1,Arbys
ARG05874,internal,10.210.12.1,Arbys
ARG05875,internal,10.212.24.1,Arbys
ARG05877,internal,10.212.22.1,Arbys
ARG05882,internal,10.211.235.1,Arbys
ARG05891,internal,10.212.114.1,Arbys
ARG05903,internal,10.211.27.1,Arbys
ARG05904,internal,10.213.32.1,Arbys
ARG05912,internal,10.211.73.1,Arbys
ARG05915,internal,10.213.117.1,Arbys
ARG05917,internal,10.211.59.1,Arbys
ARG05925,internal,10.211.30.1,Arbys
ARG05934,internal,10.208.35.1,Arbys
ARG05940,internal,10.212.140.1,Arbys
ARG05945,internal,10.208.36.1,Arbys
ARG05952,internal,10.211.128.1,Arbys
ARG05967,internal,10.213.131.1,Arbys
ARG05970,internal,10.215.170.1,Arbys
ARG05984,internal,10.211.212.1,Arbys
ARG05989,internal,10.210.217.1,Arbys
ARG05991,internal,10.210.219.1,Arbys
ARG06004,internal,10.213.144.1,Arbys
ARG06018,internal,10.215.171.1,Arbys
ARG06042,internal,10.213.184.1,Arbys
ARG06047,internal,10.208.196.1,Arbys
ARG06055,internal,10.210.45.1,Arbys
ARG06059,internal,10.210.91.1,Arbys
ARG06071,internal,10.208.168.1,Arbys
ARG06073,internal,10.211.14.1,Arbys
ARG06108,internal,10.208.169.1,Arbys
ARG06111,internal,10.214.4.1,Arbys
ARG06122,internal,10.212.196.1,Arbys
ARG06127,internal,10.212.99.1,Arbys
ARG06128,internal,10.212.147.1,Arbys
ARG06130,internal,10.208.37.1,Arbys
ARG06140,internal,10.212.142.1,Arbys
ARG06144,internal,10.212.30.1,Arbys
ARG06156,internal,10.211.11.1,Arbys
ARG06169,internal,10.211.7.1,Arbys
ARG06182,internal,10.212.100.1,Arbys
ARG06186,internal,10.208.203.1,Arbys
ARG06194,internal,10.210.220.1,Arbys
ARG06199,internal,10.213.9.1,Arbys
ARG06204,internal,10.208.14.1,Arbys
ARG06213,internal,10.210.229.1,Arbys
ARG06222,internal,10.211.206.1,Arbys
ARG06234,internal,10.210.194.1,Arbys
ARG06238,internal,10.214.29.1,Arbys
ARG06239,internal,10.208.159.1,Arbys
ARG06247,internal,10.208.204.1,Arbys
ARG06260,internal,10.212.85.1,Arbys
ARG06271,internal,10.213.132.1,Arbys
ARG06290,internal,10.208.226.1,Arbys
ARG06319,internal,10.213.189.1,Arbys
ARG06333,internal,10.212.195.1,Arbys
ARG06339,internal,10.212.25.1,Arbys
ARG06343,internal,10.212.206.1,Arbys
ARG06349,internal,10.208.38.1,Arbys
ARG06353,internal,10.213.124.1,Arbys
ARG06357,internal,10.208.48.1,Arbys
ARG06367,internal,10.211.33.1,Arbys
ARG06369,internal,10.208.249.1,Arbys
ARG06375,internal,10.213.164.1,Arbys
ARG06393,internal,10.211.12.1,Arbys
ARG06394,internal,10.208.149.1,Arbys
ARG06395,internal,10.208.160.1,Arbys
ARG06396,internal,10.208.161.1,Arbys
ARG06399,internal,10.212.110.1,Arbys
ARG06400,internal,10.210.153.1,Arbys
ARG06405,internal,10.213.217.1,Arbys
ARG06408,internal,10.211.56.1,Arbys
ARG06410,internal,10.210.176.1,Arbys
ARG06415,internal,10.213.187.1,Arbys
ARG06420,internal,10.208.82.1,Arbys
ARG06425,internal,10.210.195.1,Arbys
ARG06439,internal,10.213.193.1,Arbys
ARG06441,internal,10.211.129.1,Arbys
ARG06444,internal,10.213.253.1,Arbys
ARG06445,internal,10.210.184.1,Arbys
ARG06446,internal,10.211.217.1,Arbys
ARG06449,internal,10.208.250.1,Arbys
ARG06453,internal,10.215.172.1,Arbys
ARG06459,internal,10.208.199.1,Arbys
ARG06469,internal,10.210.178.1,Arbys
ARG06472,internal,10.213.105.1,Arbys
ARG06479,internal,10.212.38.1,Arbys
ARG06480,internal,10.212.245.1,Arbys
ARG06506,internal,10.210.164.1,Arbys
ARG06524,internal,10.213.106.1,Arbys
ARG06527,internal,10.212.225.1,Arbys
ARG06530,internal,10.215.173.1,Arbys
ARG06531,internal,10.211.126.1,Arbys
ARG06532,internal,10.214.30.1,Arbys
ARG06536,internal,10.210.172.1,Arbys
ARG06537,internal,10.212.247.1,Arbys
ARG06559,internal,10.215.174.1,Arbys
ARG06563,internal,10.213.10.1,Arbys
ARG06565,internal,10.213.141.1,Arbys
ARG06566,internal,10.212.231.1,Arbys
ARG06578,internal,10.211.130.1,Arbys
ARG06580,internal,10.210.169.1,Arbys
ARG06581,internal,10.212.164.1,Arbys
ARG06584,internal,10.211.36.1,Arbys
ARG06595,internal,10.212.182.1,Arbys
ARG06602,internal,10.212.13.1,Arbys
ARG06604,internal,10.213.104.1,Arbys
ARG06606,internal,10.211.131.1,Arbys
ARG06609,internal,10.211.240.1,Arbys
ARG06617,internal,10.212.207.1,Arbys
ARG06620,internal,10.213.190.1,Arbys
